#FamilyID	Bimp<0>	Bter<1>	Amel<2>	Aflo<3>	<4>	Mqua<5>	<6>	<7>	<8>	Emex<9>	<10>	Hlab<11>	Lalb<12>	Dnov<13>	<14>	Ccal<15>	Mrot<16>	<17>	<18>	<19>	<20>	
ORTHOMCL601	0.518363	0.518363	0.517477	0.518477	0.549642	0.575269	0.533579	0.5221	0.510757	1.67686e-05	0.516478	0.563277	0.633477	6.25335e-07	0.508462	0.618034	0.574148	0.531952	0.506367	0.506367	N/A
ORTHOMCL603	0.567661	0.567661	0.0510712	0.000856541	0.00621721	0.201444	0.563814	0.542746	0.521167	0.630909	0.00830586	0.563277	0.633477	0.094699	0.508462	0.173083	0.0383314	0.531952	0.506367	0.506367	N/A
ORTHOMCL611	0.552135	0.552135	0.0510712	0.000856541	0.0508264	0.201444	0.563814	0.542746	0.521167	0.19678	0.532146	0.172479	0.633477	0.56386	0.51671	0.696081	0.632234	0.0913443	0.512612	0.512612	N/A
ORTHOMCL617	0.535721	0.535721	0.0510712	0.000856541	0.592018	0.201444	0.563814	0.542746	0.521167	0.19678	0.532146	0.172479	0.633477	0.56386	0.51671	0.124661	0.0767634	0.0913443	0.512612	0.512612	N/A
ORTHOMCL624	0.535721	0.0185289	0.517477	0.518477	0.0254034	0.575269	0.533579	0.5221	0.510757	0.573306	0.0482242	0.614808	0.633477	0.56386	0.51671	0.124661	0.0139269	0.0913443	0.512612	0.512612	N/A
ORTHOMCL644	0.552135	0.552135	0.0510712	0.0186446	0.0508264	0.201444	0.563814	0.542746	0.521167	0.630909	0.532146	0.172479	0.633477	0.56386	0.51671	0.124661	0.574148	0.531952	0.512612	0.0189184	N/A
ORTHOMCL645	0.582354	0.0461768	0.517477	0.518477	3.35772e-06	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.563277	0.633477	0.56386	0.508462	0.618034	0.574148	0.531952	0.506367	0.506367	N/A
ORTHOMCL648	0.567661	8.32039e-05	0.517477	0.518477	6.59164e-05	0.111369	0.533579	0.5221	0.510757	0.573306	0.516478	0.563277	0.633477	0.0328761	0.508462	0.618034	0.574148	0.531952	0.506367	0.506367	N/A
ORTHOMCL651	0.535721	0.0535878	0.0510712	0.535936	0.592018	0.633994	0.563814	0.542746	0.521167	0.0758638	0.532146	0.172479	0.716159	0.173912	0.51671	0.295932	0.0139269	0.560874	0.512612	0.512612	N/A
ORTHOMCL657	0.518363	0.00926429	0.517477	0.518477	0.549642	0.575269	0.533579	0.5221	0.510757	0.573306	0.0482242	0.0101248	0.633477	0.56386	0.51671	0.295932	7.74082e-05	0.0913443	0.512612	0.512612	N/A
ORTHOMCL673	0.552135	8.33633e-07	0.517477	0.518477	0.00129403	0.575269	0.533579	0.5221	0.510757	0.0378839	0.516478	0.563277	0.633477	0.56386	0.508462	0.618034	0.574148	0.531952	0.506367	0.506367	N/A
ORTHOMCL679	0.0277783	0.552135	0.517477	0.518477	0.00129403	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.563277	0.633477	0.56386	0.508462	0.618034	0.000227984	0.531952	0.506367	0.506367	N/A
ORTHOMCL706	0.567661	0.00353223	0.517477	0.518477	6.59164e-05	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.563277	0.633477	0.56386	0.508462	0.618034	0.574148	0.531952	0.506367	0.506367	N/A
ORTHOMCL709	0.518363	0.518363	0.517477	0.518477	0.549642	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.563277	0.326893	0.615759	0.0250652	0.0355369	0.000809543	0.560874	0.512612	0.512612	N/A
ORTHOMCL711	0.535721	0.535721	0.0510712	0.000856541	0.592018	0.201444	0.563814	0.542746	0.521167	0.630909	0.532146	0.172479	0.633477	0.56386	0.51671	0.124661	0.574148	0.531952	0.512612	0.0189184	N/A
ORTHOMCL722	0.000171713	0.518363	0.517477	3.24272e-06	0.549642	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.563277	0.633477	0.56386	0.508462	0.618034	0.000227984	0.531952	0.506367	0.506367	N/A
ORTHOMCL731	0.0277783	0.552135	0.517477	0.518477	0.00129403	0.575269	0.533579	0.5221	0.510757	0.00288714	0.516478	0.563277	0.633477	0.56386	0.508462	0.0619843	0.574148	0.531952	0.506367	0.506367	N/A
ORTHOMCL752	0.518363	0.518363	0.517477	0.518477	0.549642	0.575269	0.533579	0.5221	0.510757	7.42229e-09	0.516478	0.563277	0.633477	0.094699	0.508462	0.00780801	0.574148	0.531952	0.506367	0.506367	N/A
ORTHOMCL755	0.567661	0.00353223	0.517477	0.518477	6.59164e-05	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.563277	0.633477	0.56386	0.508462	0.618034	0.574148	0.531952	0.506367	0.506367	N/A
ORTHOMCL756	0.0535878	0.535721	0.0510712	0.535936	0.592018	0.633994	0.563814	0.542746	0.521167	0.19678	0.532146	0.172479	0.716159	0.615759	0.51671	0.0355369	0.198783	0.560874	0.512612	0.512612	N/A
ORTHOMCL766	0.552135	0.0277783	0.517477	0.518477	0.00129403	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.0325684	0.633477	0.00217114	0.508462	0.618034	0.574148	0.531952	0.506367	0.506367	N/A
ORTHOMCL777	0.552135	0.552135	0.517477	0.518477	0.00129403	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.563277	0.633477	0.56386	0.508462	0.618034	1.75825e-05	0.531952	0.506367	0.506367	N/A
ORTHOMCL778	0.567661	0.00353223	0.517477	0.518477	6.59164e-05	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.563277	0.633477	0.56386	0.508462	0.618034	0.574148	0.531952	0.506367	0.506367	N/A
ORTHOMCL791	0.535721	0.0535878	0.534044	0.0539103	0.592018	0.0779636	0.563814	0.542746	0.521167	0.19678	0.532146	0.614808	0.716159	0.173912	0.51671	0.295932	0.632234	0.560874	0.512612	0.512612	N/A
ORTHOMCL804	0.518363	0.00926429	0.517477	6.04792e-08	0.549642	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.563277	0.633477	0.0328761	0.508462	0.618034	0.0383314	0.531952	0.506367	0.506367	N/A
ORTHOMCL807	0.535721	0.535721	0.0510712	0.0186446	0.592018	0.201444	0.563814	0.542746	0.521167	0.0758638	0.532146	0.172479	0.326893	0.615759	0.51671	0.295932	0.198783	0.560874	0.512612	0.512612	N/A
ORTHOMCL810	0.518363	0.518363	0.517477	0.00932214	0.549642	0.575269	0.533579	0.5221	0.510757	0.0378839	0.516478	0.563277	0.633477	0.56386	0.508462	0.618034	1.35599e-06	0.531952	0.506367	0.506367	N/A
ORTHOMCL836	0.518363	0.00926429	0.549752	0.552439	0.549642	0.575269	0.000582857	0.5221	0.510757	0.573306	0.516478	0.563277	0.010128	0.56386	0.508462	0.0619843	0.109734	0.531952	0.506367	0.506367	N/A
ORTHOMCL838	0.0185289	0.535721	0.517477	0.518477	0.592018	0.201444	0.09576	0.542746	0.521167	0.630909	0.532146	0.172479	0.633477	0.56386	0.51671	0.124661	0.632234	0.0913443	0.512612	0.512612	N/A
ORTHOMCL846	0.00926429	0.518363	0.517477	0.00932214	0.549642	0.575269	0.533579	0.5221	0.510757	0.00022003	0.516478	0.563277	0.633477	0.56386	0.508462	0.00780801	0.574148	0.531952	0.506367	0.506367	N/A
ORTHOMCL866	0.00926429	0.518363	0.0264285	0.552439	0.549642	0.575269	0.000582857	0.5221	0.510757	0.573306	0.516478	0.563277	0.633477	0.0328761	0.508462	0.618034	0.574148	0.531952	0.506367	0.506367	N/A
ORTHOMCL873	0.518363	0.518363	0.517477	0.518477	0.549642	0.575269	0.533579	0.5221	0.510757	0.573306	0.516478	0.563277	0.633477	0.56386	0.508462	0.618034	8.06503e-09	0.531952	0.506367	0.506367	N/A
