#FamilyID	Bimp<0>	Bter<1>	Amel<2>	Aflo<3>	<4>	Mqua<5>	<6>	<7>	<8>	Emex<9>	<10>	Hlab<11>	Lalb<12>	Dnov<13>	<14>	Ccal<15>	Mrot<16>	<17>	<18>	<19>	<20>	
ORTHOMCL79	0.629186	0.000750006	0.527996	0.0441282	2.4457e-06	0.287977	0.146693	0.551776	0.525838	1.79748e-06	0.539086	0.647422	0.656541	0.584716	0.522768	0.00525836	0.144022	0.543165	0.517225	0.0258388	N/A
ORTHOMCL80	0.0452614	0.581193	0.00136642	0.58117	0.0920799	0.029253	0.635566	0.574613	0.538001	0.0164143	0.556895	0.69588	0.244414	0.697181	0.533566	0.013914	0.151402	0.613753	0.525503	0.525503	N/A
ORTHOMCL82	0.581193	0.00521608	0.00136642	0.58117	0.0920799	0.029253	0.635566	0.574613	0.538001	0.702598	0.556895	0.0148542	0.370283	0.223479	0.533566	9.27171e-05	0.0506529	0.172118	0.525503	0.525503	N/A
ORTHOMCL84	0.0675435	0.614239	0.116437	0.58117	0.00121658	0.743634	0.635566	0.574613	0.538001	0.310364	0.556895	0.69588	0.795565	0.301766	0.533566	0.0451569	0.718954	0.613753	0.525503	0.525503	N/A
ORTHOMCL85	0.0452614	0.581193	0.598848	0.157215	0.684368	0.443482	0.667769	0.595654	0.54969	0.066689	0.0305007	0.0148542	0.74394	0.648552	0.533566	0.0451569	0.151402	0.172118	0.525503	0.525503	N/A
ORTHOMCL86	6.62424e-05	0.562928	0.116437	0.58117	0.650333	0.029253	0.635566	0.574613	0.538001	0.702598	0.556895	0.299707	0.74394	0.648552	0.533566	9.27171e-05	0.336509	0.172118	0.525503	0.525503	N/A
ORTHOMCL88	0.581193	0.00521608	0.527996	0.529569	0.0920799	0.029253	0.00540186	0.574613	0.538001	0.135763	0.556895	0.0148542	0.370283	0.223479	0.533566	9.27171e-05	0.00505082	0.172118	0.525503	0.525503	N/A
ORTHOMCL89	0.562928	6.62424e-05	0.116437	0.58117	0.650333	0.376604	0.635566	0.574613	0.538001	0.702598	0.556895	0.129646	0.464791	0.130817	0.533566	0.776191	0.718954	0.613753	0.525503	0.525503	N/A
ORTHOMCL90	0.562928	0.562928	0.00136642	0.000150474	0.650333	0.177309	0.635566	0.574613	0.538001	0.0164143	0.556895	0.0148542	0.464791	0.0386994	0.533566	0.0968482	0.718954	0.613753	0.525503	0.525503	N/A
ORTHOMCL92	0.598268	0.598268	0.116437	0.00506293	0.0200561	0.376604	0.635566	0.574613	0.538001	0.135763	0.020347	0.647422	0.74394	0.648552	0.522768	0.148518	0.667897	0.580824	0.517225	0.517225	N/A
ORTHOMCL95	0.581193	0.000150397	0.0805168	0.556541	0.00909747	0.287977	0.597692	0.551776	0.525838	0.230662	0.539086	0.221767	0.464791	0.0386994	0.0504523	0.216927	0.00505082	0.613753	0.525503	0.525503	N/A
ORTHOMCL96	0.562928	0.0339992	0.00136642	0.00506293	0.650333	0.029253	0.635566	0.574613	0.538001	0.135763	0.556895	0.0380602	0.370283	0.648552	0.533566	0.776191	0.151402	0.172118	0.525503	0.525503	N/A
ORTHOMCL97	1.91156e-16	0.0650764	0.527996	0.529569	0.0308383	0.61419	0.552979	0.526969	0.513178	0.58786	0.520148	0.583972	0.656541	0.584716	0.511585	0.639212	6.9218e-12	0.543165	0.508727	0.508727	N/A
ORTHOMCL101	0.543377	0.543377	0.553663	0.0299949	0.609422	0.690896	0.597692	0.551776	0.525838	0.65329	0.0856573	0.00324814	0.464791	0.130817	0.533566	0.0451569	0.000597576	0.613753	0.525503	0.525503	N/A
ORTHOMCL103	0.0564491	0.598268	0.0417922	0.529569	0.000429952	0.287977	0.146693	0.551776	0.525838	0.65329	0.539086	0.221767	0.0582655	0.697181	0.0504523	0.013914	0.000597576	0.613753	0.525503	0.525503	N/A
ORTHOMCL106	0.562928	0.562928	0.527996	0.529569	0.0617189	0.287977	0.146693	0.551776	0.525838	0.65329	0.539086	0.647422	0.74394	0.648552	0.0504523	0.013914	1.51687e-06	0.172118	0.525503	0.525503	N/A
ORTHOMCL107	0.543377	0.543377	0.116437	0.00506293	0.228432	0.0675198	0.635566	0.574613	0.538001	0.135763	0.556895	0.299707	0.795565	0.301766	0.533566	0.431113	0.718954	0.613753	0.525503	0.525503	N/A
ORTHOMCL108	0.0564491	0.598268	0.00136642	0.0449304	0.0200561	0.029253	0.635566	0.574613	0.538001	0.000395674	0.020347	0.221767	0.656541	0.584716	0.522768	0.0496011	0.252857	0.121319	0.517225	0.517225	N/A
ORTHOMCL110	0.0675435	0.614239	0.0805168	0.556541	3.30608e-05	0.690896	0.597692	0.551776	0.525838	0.0195973	0.539086	0.221767	0.0269135	0.648552	0.522768	0.00525836	0.667897	0.580824	0.517225	0.517225	N/A
ORTHOMCL111	0.543377	0.543377	0.00136642	0.58117	0.609422	0.287977	0.635566	0.112488	0.538001	0.000395674	0.556895	4.03112e-05	0.656541	0.584716	0.533566	0.0968482	0.252857	0.121319	0.525503	0.0383125	N/A
ORTHOMCL113	0.0339992	0.000855154	0.553663	0.556541	0.650333	0.376604	0.205618	0.574613	0.538001	0.0414487	0.556895	0.69588	0.464791	0.697181	0.533566	0.0968482	0.718954	0.613753	0.525503	0.525503	N/A
ORTHOMCL115	0.614239	0.614239	0.527996	0.529569	0.00121658	0.029253	0.00540186	0.574613	0.538001	0.702598	0.556895	0.69588	0.0582655	0.130817	0.533566	0.0451569	0.0506529	0.613753	0.525503	0.525503	N/A
ORTHOMCL117	0.5	0.5	0.5	0.5	0.0890376	1.73178e-28	0.0787267	0.526969	0.513178	0.12967	0.520148	0.124029	0.656541	0.12511	0.511585	0.203152	0.144022	0.543165	0.508727	0.508727	N/A
ORTHOMCL120	0.581193	0.00521608	0.0805168	0.556541	0.0920799	0.029253	0.205618	0.574613	0.538001	0.135763	0.556895	0.0148542	0.370283	0.223479	0.533566	0.216927	0.00505082	0.172118	0.525503	0.525503	N/A
ORTHOMCL122	0.598268	0.008024	0.527996	0.529569	0.0200561	0.029253	0.00540186	0.574613	0.538001	0.135763	0.556895	0.000332156	0.370283	0.648552	0.0116511	0.337992	0.252857	0.580824	0.517225	0.517225	N/A
ORTHOMCL124	2.25783e-05	0.0650764	0.0805168	6.94612e-08	0.609422	0.287977	0.597692	0.551776	0.525838	0.65329	0.539086	1.33666e-05	0.656541	0.584716	0.522768	0.72331	0.102321	0.121319	0.517225	0.517225	N/A
ORTHOMCL126	0.522438	0.522438	0.527996	0.529569	0.559997	0.61419	0.552979	0.526969	0.000281355	7.19095e-07	0.556895	0.0148542	0.0582655	0.697181	0.533566	0.216927	0.000597576	0.613753	0.525503	0.525503	N/A
ORTHOMCL131	0.629186	0.629186	0.527996	0.529569	2.4457e-06	0.287977	0.146693	0.551776	0.525838	0.65329	0.539086	0.221767	0.656541	0.584716	0.522768	0.337992	3.45797e-06	0.121319	0.517225	0.517225	N/A
ORTHOMCL132	0.0339992	0.562928	0.116437	0.0449304	0.650333	0.029253	0.635566	0.574613	0.538001	0.310364	0.556895	0.299707	0.795565	0.697181	0.533566	0.431113	0.151402	0.613753	0.525503	0.525503	N/A
ORTHOMCL133	0.543377	0.0226844	0.553663	1.93217e-06	0.609422	0.690896	0.597692	0.551776	0.525838	0.0195973	0.539086	0.647422	0.16846	0.648552	0.522768	0.72331	0.667897	0.580824	0.517225	0.517225	N/A
ORTHOMCL134	0.614239	1.76014e-05	0.527996	0.529569	3.30608e-05	0.287977	0.146693	0.551776	0.525838	0.65329	0.539086	0.221767	0.656541	0.584716	0.522768	0.72331	0.0243132	0.121319	0.517225	0.517225	N/A
ORTHOMCL137	6.39055e-07	0.543377	0.553663	0.556541	0.609422	0.690896	0.597692	0.551776	0.525838	0.091523	0.539086	0.647422	0.74394	0.648552	0.522768	0.00525836	0.667897	0.580824	0.517225	0.517225	N/A
ORTHOMCL139	0.543377	2.25783e-05	0.527996	0.529569	0.609422	0.690896	0.146693	0.551776	0.525838	0.65329	0.539086	0.647422	0.74394	0.648552	0.522768	0.0496011	2.89038e-05	0.580824	0.517225	0.517225	N/A
ORTHOMCL140	0.598268	1.82872e-08	0.527996	0.529569	0.000429952	0.287977	0.146693	0.551776	0.525838	0.091523	0.539086	0.221767	0.370283	0.648552	0.522768	0.337992	0.102321	0.580824	0.517225	0.517225	N/A
ORTHOMCL141	0.562928	0.0947825	0.553663	0.556541	0.650333	0.376604	0.205618	0.574613	0.538001	0.135763	0.556895	0.000332156	0.370283	0.648552	0.533566	0.431113	0.718954	0.172118	0.525503	0.525503	N/A
ORTHOMCL142	0.0339992	0.0947825	0.527996	0.529569	0.650333	0.0675198	0.00540186	0.574613	0.538001	0.702598	0.556895	0.69588	0.244414	0.301766	0.533566	0.431113	0.718954	0.613753	0.525503	0.525503	N/A
ORTHOMCL144	0.629186	1.22456e-06	0.527996	0.529569	2.80565e-08	0.61419	0.552979	0.526969	0.513178	0.58786	0.520148	0.583972	0.656541	0.584716	0.511585	0.639212	0.00525841	0.543165	0.508727	0.508727	N/A
ORTHOMCL145	0.00294094	0.562928	0.527996	0.529569	0.0617189	0.690896	0.146693	0.551776	0.525838	0.00134293	0.539086	0.221767	0.74394	0.223479	0.522768	0.00097272	0.667897	0.580824	0.517225	0.517225	N/A
