#FamilyID	Bimp<0>	Bter<1>	Amel<2>	Aflo<3>	<4>	Mqua<5>	<6>	<7>	<8>	Emex<9>	<10>	Hlab<11>	Lalb<12>	Dnov<13>	<14>	Ccal<15>	Mrot<16>	<17>	<18>	<19>	<20>	
ORTHOMCL159	0.000571679	0.552566	0.0577206	0.540597	0.629213	0.130206	0.153549	0.562548	0.531513	0.67762	0.547442	0.244003	0.209342	0.245844	0.525451	0.750211	0.117247	0.589285	0.519275	0.519275	N/A
ORTHOMCL160	0.552566	0.0791142	0.538475	0.0609045	0.629213	0.300693	0.153549	0.562548	0.531513	0.113818	0.547442	0.244003	0.328744	0.618512	0.525451	0.00886743	0.117247	0.134778	0.519275	0.519275	N/A
ORTHOMCL161	0.536025	0.0186928	0.0577206	0.540597	0.592724	0.222586	0.571648	0.543106	0.521352	4.7224e-09	0.532422	0.176606	0.634426	0.565554	0.51719	0.0360655	0.0788308	0.0937769	0.512977	0.512977	N/A
ORTHOMCL162	0.610244	4.82771e-07	0.519823	0.520952	9.16907e-09	0.584328	0.537957	0.522293	0.510852	0.573892	0.516623	0.564958	0.634426	0.565554	0.508708	0.0624565	0.576078	0.532847	0.506553	0.506553	N/A
ORTHOMCL164	0.634679	0.634679	0.519823	0.520952	2.42006e-11	0.584328	0.537957	0.522293	0.510852	0.573892	0.516623	0.564958	0.634426	0.00229161	0.508708	0.6189	0.576078	0.532847	0.506553	0.506553	N/A
ORTHOMCL165	0.0280237	0.552566	0.556033	0.0888765	0.629213	0.0149935	0.601604	0.562548	0.531513	0.67762	0.547442	0.000375738	0.717354	0.618512	0.525451	0.0727219	0.681686	0.134778	0.519275	0.519275	N/A
ORTHOMCL167	0.0280237	0.552566	0.000658946	5.40205e-05	0.629213	0.300693	0.601604	0.562548	0.531513	0.67762	0.0167592	0.176606	0.717354	0.618512	0.51719	0.297711	0.0788308	0.562494	0.512977	0.512977	N/A
ORTHOMCL170	0.536025	1.27074e-05	0.538475	0.0211675	0.592724	0.647963	0.571648	0.543106	0.521352	0.631832	0.532422	0.617545	0.328744	0.000560302	0.51719	0.297711	0.0788308	0.562494	0.512977	0.512977	N/A
ORTHOMCL176	0.0557865	0.596995	0.519823	0.0313162	1.59713e-05	0.222586	0.107528	0.543106	0.521352	0.631832	0.532422	0.617545	0.0185464	0.0676042	0.51719	0.00329976	0.203358	0.562494	0.512977	0.512977	N/A
ORTHOMCL178	0.536025	0.536025	0.538475	0.00110192	0.592724	0.647963	0.571648	0.543106	0.521352	0.631832	0.532422	0.617545	0.328744	0.618512	0.51719	0.00329976	0.0788308	0.562494	0.512977	0.512977	N/A
ORTHOMCL181	0.552566	0.552566	0.000658946	0.559024	0.629213	0.300693	0.601604	0.562548	0.531513	0.67762	0.547442	0.099828	0.717354	0.178065	0.525451	0.750211	0.277326	0.134778	0.519275	0.519275	N/A
ORTHOMCL182	0.536025	1.27074e-05	0.538475	0.540597	0.592724	0.222586	0.571648	0.543106	0.521352	0.631832	0.532422	0.617545	0.717354	0.618512	0.51719	0.00329976	0.635261	0.562494	0.512977	0.512977	N/A
ORTHOMCL183	0.0280237	0.552566	0.556033	0.559024	0.0512594	0.647963	0.0386544	0.543106	0.521352	0.631832	0.532422	0.176606	0.143079	0.178065	0.51719	0.297711	0.0146662	0.562494	0.512977	0.512977	N/A
ORTHOMCL186	0.536025	0.536025	0.538475	1.83856e-05	0.592724	0.222586	0.571648	0.543106	0.521352	0.631832	0.532422	0.617545	0.717354	0.618512	0.51719	0.00329976	0.635261	0.562494	0.512977	0.512977	N/A
ORTHOMCL187	0.536025	0.00086094	0.020016	0.540597	0.592724	0.647963	0.571648	0.543106	0.521352	0.631832	0.532422	0.176606	0.770403	0.10076	0.51719	0.0360655	0.00472901	0.0333714	0.512977	0.512977	N/A
ORTHOMCL189	0.518524	0.00934622	0.519823	0.00022412	0.550055	0.584328	0.537957	0.522293	0.510852	0.573892	0.516623	0.564958	0.634426	0.565554	0.508708	0.6189	2.40328e-15	0.532847	0.506553	0.506553	N/A
ORTHOMCL192	0.552566	0.552566	0.519823	0.520952	0.0512594	0.222586	0.107528	0.543106	0.521352	0.198176	0.532422	0.176606	0.0418368	0.661548	0.038234	0.000219705	0.117247	0.589285	0.519275	0.519275	N/A
ORTHOMCL193	0.0465827	0.582998	0.0577206	0.540597	0.000250027	0.222586	0.571648	0.543106	0.521352	0.0764903	0.532422	0.176606	0.634426	0.565554	0.51719	0.00329976	0.576078	0.532847	0.512977	0.0194655	N/A
ORTHOMCL194	0.552566	0.552566	0.000658946	0.031729	0.629213	0.0149935	0.601604	0.562548	0.531513	0.67762	0.547442	0.660364	0.0418368	0.661548	0.525451	0.184758	0.0119491	0.589285	0.519275	0.519275	N/A
ORTHOMCL196	0.0540444	1.27074e-05	0.519823	0.520952	0.592724	0.222586	0.107528	0.543106	0.521352	0.0764903	0.532422	0.176606	0.634426	0.565554	0.51719	0.69724	5.99273e-09	0.0937769	0.512977	0.512977	N/A
ORTHOMCL197	0.0280237	0.552566	0.000658946	0.559024	0.629213	0.0149935	0.601604	0.562548	0.531513	0.000202271	0.547442	0.00844022	0.196388	0.565554	0.525451	0.750211	0.681686	0.00192172	0.519275	0.519275	N/A
ORTHOMCL198	0.518524	3.26792e-06	0.519823	0.520952	0.550055	0.584328	0.537957	0.522293	0.510852	0.573892	0.516623	0.0334564	0.634426	0.565554	0.508708	0.6189	3.03383e-14	0.532847	0.506553	0.506553	N/A
ORTHOMCL199	0.596995	0.0557865	0.519823	0.520952	1.78474e-07	0.584328	0.537957	0.522293	0.510852	0.573892	0.516623	0.564958	0.634426	0.565554	0.508708	1.62269e-05	0.576078	0.532847	0.506553	0.506553	N/A
ORTHOMCL202	0.536025	6.50198e-14	0.519823	0.520952	0.0256196	0.584328	0.537957	0.522293	0.510852	1.73324e-05	0.516623	0.564958	0.634426	0.565554	0.508708	0.6189	0.0031179	0.532847	0.506553	0.506553	N/A
ORTHOMCL203	0.596995	0.596995	0.519823	0.520952	1.59713e-05	0.222586	0.107528	0.543106	0.521352	0.631832	0.532422	0.617545	0.634426	0.565554	0.51719	0.0360655	0.635261	0.0937769	0.512977	0.512977	N/A
ORTHOMCL205	0.552566	0.0280237	0.0577206	1.83856e-05	0.0512594	0.222586	0.571648	0.543106	0.521352	0.198176	0.532422	0.000545209	0.328744	0.0676042	0.51719	0.297711	0.203358	0.562494	0.512977	0.512977	N/A
ORTHOMCL206	0.0540444	0.536025	0.0399574	0.576318	0.592724	0.222586	0.057852	0.094208	0.531513	2.18685e-06	0.000140471	0.564958	0.634426	0.0971794	0.508708	0.6189	0.576078	0.532847	0.506553	0.506553	N/A
ORTHOMCL208	0.552566	0.552566	0.0577206	0.00110192	0.0512594	0.647963	0.571648	0.543106	0.521352	0.631832	0.532422	0.0669714	0.717354	0.618512	0.51719	0.69724	0.635261	0.562494	0.512977	0.512977	N/A
ORTHOMCL209	0.536025	0.0186928	0.538475	0.0609045	0.592724	0.647963	0.571648	0.543106	0.521352	0.0764903	0.532422	0.000545209	0.717354	0.0676042	0.51719	0.69724	0.203358	0.562494	0.512977	0.512977	N/A
ORTHOMCL211	0.582998	0.0465827	0.519823	0.520952	3.47396e-06	0.584328	0.537957	0.522293	0.510852	0.573892	0.516623	0.564958	0.634426	0.565554	0.508708	0.0624565	1.54989e-06	0.532847	0.506553	0.506553	N/A
ORTHOMCL215	0.582998	0.0465827	0.519823	0.520952	3.47396e-06	0.584328	0.537957	0.522293	0.510852	0.0381955	0.516623	0.564958	0.634426	0.565554	0.508708	1.62269e-05	0.576078	0.532847	0.506553	0.506553	N/A
ORTHOMCL219	0.552566	0.552566	0.519823	0.520952	0.0512594	0.222586	0.107528	0.543106	0.521352	0.198176	0.0713755	0.0233578	0.328744	0.178065	0.525451	0.0727219	0.117247	0.134778	0.519275	0.519275	N/A
ORTHOMCL220	0.0465827	0.582998	0.519823	0.520952	3.47396e-06	0.584328	0.537957	0.522293	0.510852	0.573892	0.516623	0.564958	0.634426	0.565554	0.508708	0.00100672	0.000246987	0.532847	0.506553	0.506553	N/A
